feature,Class,Average of Value,Year
brilliant,1,0.02152175083756447,2015
brilliant,1,-0.03176978975534439,2016
brilliant,1,-0.5686268210411072,2017
brilliant,1,0.254472404718399,2018
brilliant,1,0.3315865397453308,2019
brilliant,1,0.07673030346632004,2020
brilliant,1,-0.06377366930246353,2021
brilliant,1,-0.1106431186199188,2022
browse,0,0.925163984298706,2010
browse,0,1.42566442489624,2011
browse,0,-0.3521274328231812,2012
browse,0,2.790664434432983,2013
browse,0,-0.1206123381853104,2014
browse,0,1.243598222732544,2015
browse,0,0.06997069716453552,2016
browse,0,-0.8885442614555359,2017
browse,0,0.8767517805099487,2018
browse,0,-0.0723237618803978,2019
browse,0,0.4428703188896179,2020
browse,0,-0.8315690755844116,2021
browse,0,-0.1140879541635513,2022
browse,1,-0.6838200092315674,2010
browse,1,-2.47469162940979,2011
browse,1,0.3710311949253082,2012
browse,1,-2.406091213226318,2013
browse,1,0.07468578964471817,2014
browse,1,-1.343897700309753,2015
browse,1,-0.1342672556638718,2016
browse,1,1.235528945922852,2017
browse,1,-1.004515409469604,2018
browse,1,0.06654317677021027,2019
browse,1,-0.4042440950870514,2020
browse,1,0.7966935634613037,2021
browse,1,0.09726428985595703,2022
bruise,0,-0.008881730027496815,2010
bruise,0,-0.5884047150611877,2011
bruise,0,-0.1482666432857513,2012
bruise,0,-0.2143921405076981,2013
bruise,0,-0.7890528440475464,2014
bruise,0,-0.3015402853488922,2015
bruise,0,-0.392246425151825,2016
bruise,0,-0.8371170163154602,2017
bruise,0,-0.8094136118888855,2018
bruise,0,-0.3406770825386047,2019
bruise,0,0.001357496366836131,2020
bruise,0,-0.3264210820198059,2021
bruise,0,-0.05700452998280525,2022
bruise,1,0.03933139890432358,2010
bruise,1,0.7961165308952332,2011
bruise,1,0.1429303586483002,2012
bruise,1,0.1911285519599915,2013
bruise,1,0.9092493653297424,2014
bruise,1,0.4628081321716309,2015
bruise,1,0.5148686766624451,2016
bruise,1,1.038665056228638,2017
bruise,1,0.572931706905365,2018
bruise,1,0.3696341812610626,2019
bruise,1,-0.0134063083678484,2020
bruise,1,0.2736939191818237,2021
bruise,1,0.04480382055044174,2022
brush,0,-0.09860297292470932,2010
brush,0,-0.2899034023284912,2011
